name,domain,website,batch,one_liner,tags
Drip,drippay.dev,https://drippay.dev/,P26,Infrastructure to replace most monetization tooling,"B2B, Sales Enablement, Billing, Infrastructure"
Minicor,minicor.com,https://minicor.com,P26,"Managed, self healing desktop automation at scale",
Archer,archermoney.com,https://archermoney.com/,P26,Instant payouts for work and incentives.,"Crypto / Web3, Finance"
Hub.xyz,hub.xyz,http://hub.xyz,P26,API for real-world training data.,"Artificial Intelligence, Data Labeling, Big Data, AI"
Humwork,humwork.ai,https://humwork.ai,P26,Connect AI agents to human experts in 30 seconds,
ProjectX,projectx.cloud,https://www.projectx.cloud/,P26,Infinity: the first OS where humans and agents work with no limits.,"Artificial Intelligence, Marketplace, DevOps, Cloud Computing, Infrastructure"
Cohesion,cohesionplatform.com,https://cohesionplatform.com/,P26,Your public equities agentic teammate ,"Fintech, SaaS, Investing"
OpenWork,openworklabs.com,https://openworklabs.com,P26,The open source alternative to Claude Cowork,
Callab AI,callab.ai,https://callab.ai,P26,AI voice agents for enterprise telephony systems.,"B2B, Call Center, AI"
Ontora,ontora.com,https://ontora.com,P26,AI agents that interview every employee to map how work gets done.,"Artificial Intelligence, B2B, Analytics, Operations"
Eden Robotics,edenrobotics.ai,https://www.edenrobotics.ai,P26,Autonomous services for humanity.,"Artificial Intelligence, Robotic Process Automation, Robotics, Automation"
Lightsprint,lightsprint.ai,https://lightsprint.ai,P26,Collaborative product development platform that lets non-engineering…,Developer Tools
Tasklet,tasklet.ai,https://tasklet.ai,P26,The cloud agent operating system for knowledge work,
Asendia AI,asendia.ai,https://asendia.ai/,P26,AI Recruiters for Staffing Agencies and Enterprise,"Artificial Intelligence, Recruiting, AI"
Revnu,revnu.app,https://revnu.app/,P26,Everything but the app itself,"Developer Tools, Marketing"
Elyra,elyrasystems.com,https://www.elyrasystems.com/,P26,AI for Restaurant Reservations,"Artificial Intelligence, SaaS, Restaurant Tech"
Trellis,trellistech.com,https://trellistech.com,P26,Autonomous Agents for Short Term Rentals,
Napkin Math,napkinmath.club,https://napkinmath.club,P26,"Building Napkin Math, AI-powered food journaling for real people","Artificial Intelligence, Consumer, Fitness, Digital Health, Food"
Juno,juno-chat.com,https://juno-chat.com/,P26,AI Health Assistant for Chronic Illness,"Health Tech, Health & Wellness, Consumer Products"
Sidekick,textsidekick.com,https://www.textsidekick.com/,P26,AI-powered SMS assistant for deskless workers.,"SaaS, B2B, AI Assistant"
Huscarl,huscarl.io,https://www.huscarl.io/,P26,Actuarial intelligence for corporate risk managers,"Generative AI, Insurance, Customization"
GovGuard,govguard.com,https://govguard.com,P26,AI Infrastructure for Government Agencies,GovTech
Kimpton AI,kimpton.ai,https://kimpton.ai,P26,AI for portfolio managers,"Fintech, Investing, AI"
Saudara AI,saudara.ai,https://saudara.ai,P26,AI-native Sourcing Agency,"Marketplace, B2B, AI"
Kinect,trykinect.ai,https://www.trykinect.ai/,P26,Personalized storefronts for every visitor,"B2B, E-commerce, Conversational AI"
Bloom,trybloom.ai,https://trybloom.ai,P26,Bloom is the Brand OS for your business. ,
Mount,mount.insure,https://mount.insure,P26,Insure and secure your AI Agents,"AIOps, Artificial Intelligence, Security, Insurance, AI"
RentAHuman,rentahuman.ai,https://rentahuman.ai,P26,Marketplace for AI agents to hire humans.,"Marketplace, AI"
Gojiberry AI,gojiberry.ai,https://www.gojiberry.ai,P26,GTM Brain for small sales teams ,
Klaimee,klaimee.ai,https://www.klaimee.ai,P26,"Insurance for the agentic world. You deploy agents, we cover you.","AIOps, Artificial Intelligence, SaaS, Insurance, AI"
Silmaril,silmaril.dev,https://silmaril.dev,P26,Prompt injection defense that is self-healing,Security
primitive,primitive.dev,https://primitive.dev,P26,Communication for agents,"Artificial Intelligence, Developer Tools, Automation, Email, Infrastructure"
Ardent,tryardent.com,https://tryardent.com,P26,Database sandboxes for Agents,"Data Engineering, Infrastructure, AI"
Mochatrade,mochatrade.com,https://www.mochatrade.com,P26,US stock perps for global traders,"Fintech, Crypto / Web3, Consumer Finance"
Pairio,pairio.com,https://pairio.com,P26,AI-native industrial maintenance software,"SaaS, B2B, Manufacturing"
Prism,tryprism.com,https://tryprism.com/,P26,AI-native recruiting agency,"Recruiting, HR Tech, Talent Acquisition, AI"
Gigacatalyst,gigacatalyst.com,https://gigacatalyst.com/,P26,Customize your software to every user with AI,"Artificial Intelligence, SaaS, Enterprise, No-code"
Tenet Industries,tenetindustries.com,https://www.tenetindustries.com,P26,Drones as ammunition. ,"Hardware, Drones, Manufacturing, Industrial"
Stage,stagereview.app,https://www.stagereview.app/,P26,Code review platform for today’s engineers,"Developer Tools, SaaS"
InsForge,insforge.dev,https://insforge.dev/,P26,The backend AI agents can actually use,"Developer Tools, Open Source, Infrastructure"
TesterArmy,tester.army,https://tester.army,P26,"Test your app with AI, catch bugs before users do",AI
Lamina Labs,laminalabs.ai,https://laminalabs.ai,P26,Visual infrastructure for EdTech AI applications,"Education, Video, Edtech"
Pulsent,pulsent.ai,https://pulsent.ai/,P26,"AI Agents that watch, engage and convert your users.","Artificial Intelligence, SaaS, B2B, Sales Enablement, Monitoring"
Smartbase,smartbase.so,https://www.smartbase.so/,P26,Automated order entry for manufacturers,"SaaS, B2B, Workflow Automation, Manufacturing, Automation"
